Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Nu Invest;2021-10-04;2022-01-03;0,0711;0,0671;0,0721000000000001;999,07990336;50,0;3,0;CDB;PRE;OK
Nu Invest;2021-10-04;2023-10-04;0,0974;0,0934;0,0971246832248367;992,73771308;120,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-04;2024-10-07;0,1016;0,0976;0,100777761450642;989,14626021;50,0;36,0;LCA;PRE;OK
Nu Invest;2021-10-04;2025-10-06;0,1035;0,0995;0,10268924900299;985,59352835;108,0;48,0;LCA;PRE;OK
Guide;2021-10-04;2023-10-05;1,03;0,99;0,0971246832248367;992,61338041;100,0;24,0;LCA;POS;OK
Guide;2021-10-04;2023-10-05;0,0974;0,0961;0,0971246832248367;997,63216694;100,0;24,0;LCA;PRE;OK
Ágora;2021-10-04;2023-10-04;0,0974;0,0948;0,0971246832248367;995,27650891;90,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-04;2022-10-04;0,091;0,09;0,0892262172904634;999,08340972;212,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-04;2022-10-04;0,091;0,085;0,0892262172904634;994,5004583;200,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-04;2025-10-03;0,1035;0,1025;0,10268924900299;996,38726357;67,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-04;2025-10-03;0,1035;0,1015;0,10268924900299;992,78431842;115,0;48,0;LCA;PRE;OK
