Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Inter DTVM;2021-09-16;2023-09-18;0,0959;0,0935;0,0956427191119105;995,63349624;150,0;24,0;LCA;PRE;OK
Inter DTVM;2021-09-16;2025-09-16;0,1032;0,101;0,10237281183198;992,07060993;100,0;48,0;LCA;PRE;OK
Itau Corretora;2021-09-16;2023-03-20;0,0908;0,0881;0,0916488687827675;996,28942723;55,0;18,0;LCA;PRE;OK
Easynvest;2021-09-16;2023-09-08;0,0959;0,0919;0,0956427191119105;992,81422462;50,0;24,0;LCA;PRE;OK
BTG Pactual WM;2021-09-16;2025-09-16;0,1032;0,1002;0,10237281183198;989,19890855;100,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-16;2022-03-16;0,0787;0,0725;0,0780799766050753;997,16764636;70,0;6,0;CDB;PRE;OK
XP Investimentos;2021-09-16;2023-09-18;0,0959;0,095;0,0956427191119105;998,3614437;314,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-16;2021-12-15;1,01;0,96;0,0688461944338947;999,19460149;100,0;3,0;CDB;POS;OK
XP Investimentos;2021-09-16;2023-09-18;1,03;1,02;0,0956427191119105;998,17880895;50,0;24,0;LCA;POS;OK
XP Investimentos;2021-09-16;2023-09-18;1,03;1,0;0,0956427191119105;994,5463513;60,0;24,0;LCA;POS;OK
Ágora;2021-09-16;2023-09-21;0,0959;0,0934;0,0956427191119105;995,42470102;100,0;24,0;LCA;PRE;OK
