Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-09-24;2023-03-27;0,0906;0,0906;0,0914603695461056;1000,0;230,0;18,0;LCA;PRE;OK
Inter DTVM;2021-09-24;2023-09-25;0,0954;0,093;0,0951296560481825;995,64017123;150,0;24,0;LCA;PRE;OK
Easynvest;2021-09-24;2023-09-25;0,0954;0,0914;0,0951296560481825;992,73888925;150,0;24,0;LCA;PRE;OK
Easynvest;2021-09-24;2024-09-24;0,1001;0,0961;0,0992685842269356;989,17440949;50,0;36,0;LCA;PRE;OK
Easynvest;2021-09-24;2025-09-24;0,1024;0,0984;0,101549550836596;985,60766537;50,0;48,0;LCA;PRE;OK
Itau Corretora;2021-09-24;2023-09-25;1,03;1,0;0,0951296560481825;994,58499327;484,0;24,0;LCA;POS;OK
XP Investimentos;2021-09-24;2023-09-25;0,0954;0,0945;0,0951296560481825;998,36395247;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-24;2023-09-25;0,0954;0,091;0,0951296560481825;992,01422757;102,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-24;2024-09-23;0,1001;0,099;0,0992685842269356;997,01910321;190,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-24;2025-09-23;0,1024;0,1015;0,101549550836596;996,75131639;1000,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-24;2025-09-23;0,1024;0,0965;0,101549550836596;978,84678549;50,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-24;2023-09-25;1,03;1,02;0,0951296560481825;998,1917364;51,0;24,0;LCA;POS;OK
Ágora;2021-09-24;2023-09-25;0,0954;0,0928;0,0951296560481825;995,2772804;50,0;24,0;LCA;PRE;OK
